name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
68,21,0,0,0,0,0.0,0,0,0.0,0.0,12,0,19,25,0,0,0,0,0,62022,1.0,2.0,0.0,915,1608,48,0,0,0,0.0
118,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,0,0,37997,1.0,3.0,0.0,1663,832,39,0,0,0,0.0
10,15,0,1,29,1,0.0,0,0,2.3,22.6,15,90,11,13,0,0,0,0,4,1500552,0.0,1.0,0.0,37188,32910,48,1,0,8,9.0
25,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,3,3,0,0,0,0,0,29580,0.0,3.0,0.0,1235,686,39,1,0,0,0.0
13,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,0,0,15547,1.0,3.0,0.0,75,335,43,0,0,0,0.0
166,3,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,0,0,234356,0.0,3.0,0.0,28330,5580,39,0,0,0,0.0
2,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,3,3,0,0,0,0,0,29348,0.0,3.0,0.0,291,563,40,1,0,0,0.0
60,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,3197,4.0,4.0,0.0,0,67,40,1,0,0,0.0
62,18,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,0,0,4673,2.0,3.0,0.0,59,127,40,0,0,0,0.0
114,6,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,0,0,2656,4.0,4.0,0.0,31,48,40,1,0,0,0.0
128,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,13,15,0,0,0,0,0,27085,0.0,1.0,0.0,0,950,40,0,0,0,0.0
139,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,0,0,6319,1.0,3.0,0.0,0,162,40,1,0,0,0.0
161,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,0,0,1791,1.0,3.0,0.0,101,80,40,0,0,0,0.0
137,2,0,2,31,1,0.0,0,0,3.1,30.6,17,90,14,16,0,0,0,0,5,118636,0.0,2.0,0.0,153,11188,45,1,0,9,2.0
91,8,0,0,14,0,0.0,2,0,2.5,24.6,15,90,7,7,0,0,0,0,3,761206,3.0,2.0,0.0,18048,20716,44,0,0,2,1.0
169,25,0,0,0,0,0.0,0,0,0.0,0.0,12,0,17,21,0,0,0,0,0,73287,1.0,2.0,0.0,247,1000,40,1,0,0,0.0
51,1,0,0,19,0,0.0,1,0,2.8,28.0,14,90,9,9,0,0,0,0,4,746209,1.0,3.0,0.0,10517,27700,49,1,0,3,4.0
90,19,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,0,0,40785,1.0,1.0,0.0,973,995,39,0,0,0,0.0
168,15,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,0,0,9357,0.0,1.0,0.0,148,221,40,1,0,0,0.0
30,25,0,0,0,0,0.0,0,0,0.0,0.0,12,0,17,21,0,0,0,0,0,54438,1.0,2.0,0.0,5455,1656,39,1,0,0,0.0
138,18,0,0,19,0,10.0,3,0,4.1,30.8,14,90,18,24,0,0,0,0,3,5237,2.0,3.0,0.0,2421,250,45,0,0,2,1.0
1,19,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,0,0,18218,1.0,1.0,0.0,284,348,40,0,0,0,0.0
179,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,6,6,0,0,0,0,0,22359,4.0,4.0,0.0,728,1130,39,0,0,0,0.0
8,15,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,0,0,3424,0.0,1.0,0.0,217,210,40,1,0,0,0.0
58,21,0,0,0,0,0.0,0,0,0.0,0.0,12,0,19,25,0,0,0,0,0,226923,1.0,2.0,0.0,2793,4295,39,0,0,0,0.0
95,25,0,0,10,0,0.0,1,0,0.8,7.6,12,90,17,21,0,0,0,0,1,156750,1.0,2.0,0.0,5070,10787,50,1,0,2,2.0
96,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,7,7,0,0,0,0,0,66936,3.0,2.0,0.0,588,1379,39,0,0,0,0.0
74,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,13,15,0,0,0,0,0,983,0.0,1.0,0.0,0,14,40,0,0,0,0.0
152,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,0,0,9720,1.0,3.0,0.0,0,199,40,1,0,0,0.0
156,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,6,6,0,0,0,0,0,9165,4.0,4.0,0.0,193,355,39,0,0,0,0.0
175,19,0,2,20,0,0.0,1,0,3.7,36.6,14,90,4,4,0,0,0,0,5,29217,1.0,1.0,0.0,584,1011,45,0,0,5,3.0
129,18,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,0,0,1696475,2.0,3.0,0.0,19837,37900,41,0,0,0,0.0
148,6,0,0,23,0,0.0,4,0,4.9,49.0,16,90,12,14,0,0,0,0,6,638351,4.0,4.0,0.0,6650,32666,46,1,0,2,0.0
56,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,0,0,2546,1.0,3.0,0.0,105,94,40,1,0,0,0.0
93,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,15,18,0,0,0,0,0,5631,2.0,3.0,0.0,132,194,40,1,0,0,0.0
120,16,0,0,0,0,0.0,0,0,0.0,0.0,17,0,2,2,0,0,0,0,0,9326,0.0,2.0,0.0,114,210,39,0,0,0,0.0
171,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,8,8,0,0,0,0,0,25596,3.0,2.0,0.0,0,932,44,1,0,0,0.0
145,15,0,0,0,0,0.0,0,0,0.0,0.0,16,0,8,8,0,0,0,0,0,2868,3.0,0.0,0.0,99,94,40,0,0,0,0.0
71,2,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,0,0,10054,3.0,1.0,0.0,183,409,44,0,0,0,0.0
41,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,18,24,0,0,0,0,0,17383,2.0,1.0,0.0,857,437,39,1,0,0,0.0
77,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,7,7,0,0,0,0,0,13148,1.0,2.0,0.0,217,302,43,1,0,0,0.0
21,21,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,0,0,21159,2.0,1.0,0.0,703,487,39,1,0,0,0.0
150,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,17,21,0,0,0,0,0,74222,2.0,1.0,0.0,866,1922,40,0,0,0,0.0
11,8,0,0,0,0,0.0,0,0,0.0,0.0,16,0,13,15,0,0,0,0,0,6303,3.0,0.0,0.0,222,150,39,1,0,0,0.0
174,18,0,0,0,0,0.0,0,0,0.0,0.0,15,0,4,4,0,0,0,0,0,21252,3.0,2.0,0.0,312,523,40,1,0,0,0.0
146,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,0,0,11932,1.0,2.0,0.0,250,342,40,0,0,0,0.0
130,3,0,0,0,0,0.0,0,0,0.0,0.0,17,0,0,0,0,0,0,0,0,616,1.0,0.0,0.0,0,4,40,1,0,0,0.0
109,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,18,24,0,0,0,0,0,19101,2.0,1.0,0.0,218,385,40,1,0,0,0.0
117,6,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,16,0,0,0,0,0,2194,1.0,4.0,0.0,129,75,40,0,0,0,0.0
52,18,0,0,0,0,0.0,0,0,0.0,0.0,15,0,4,4,0,0,0,0,0,10089,3.0,2.0,0.0,91,236,43,1,0,0,0.0
44,6,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,16,0,0,0,0,0,1498,1.0,4.0,0.0,81,73,40,0,0,0,0.0
172,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,17,21,0,0,0,0,0,398,2.0,1.0,0.0,0,5,40,0,0,0,0.0
5,21,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,0,0,23619,2.0,1.0,0.0,1894,1022,39,1,0,0,0.0
38,0,0,0,0,0,0.0,0,0,0.0,0.0,17,0,3,3,0,0,0,0,0,433469,1.0,0.0,0.0,10218,73811,49,0,0,0,2.0
164,13,0,0,21,0,0.0,1,0,5.0,50.4,15,90,7,7,0,0,0,0,7,27825,1.0,2.0,0.0,3696,1319,45,1,1,3,1.0
16,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,18,24,0,0,0,0,0,1021,2.0,1.0,0.0,0,25,40,1,0,0,0.0
119,3,0,0,13,0,0.0,1,0,2.7,27.0,17,90,0,0,0,0,0,0,3,272125,1.0,0.0,0.0,10040,8314,45,1,0,3,2.0
122,16,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,6,0,0,0,0,0,101929,1.0,4.0,0.0,1994,1984,39,1,0,0,1.0
34,2,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,0,0,46639,3.0,1.0,0.0,168,1201,40,0,0,0,0.0
49,3,0,0,0,0,0.0,0,0,0.0,0.0,17,0,0,0,0,0,0,0,0,22111,1.0,0.0,0.0,1422,505,39,1,0,0,0.0
105,4,0,0,0,0,0.0,0,0,0.0,0.0,15,0,15,18,0,0,0,0,0,74,3.0,2.0,0.0,0,0,40,0,0,0,0.0
0,0,0,0,22,1,0.0,0,0,0.5,4.8,17,90,3,3,0,0,0,0,1,789227,1.0,0.0,0.0,23633,34348,47,0,0,6,0.0
100,0,0,0,0,0,0.0,0,0,0.0,0.0,17,0,3,3,0,0,0,0,0,5234,1.0,0.0,0.0,223,243,40,0,0,0,0.0
40,7,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,0,0,24253,1.0,2.0,0.0,95,1056,44,0,0,0,0.0
79,5,0,0,14,0,0.0,2,0,2.4,23.8,15,90,18,24,0,0,0,0,2,91055,2.0,1.0,0.0,2911,3168,45,1,0,1,7.0
99,16,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,6,0,0,0,0,0,875,1.0,4.0,0.0,0,15,40,1,0,0,0.0
159,14,0,0,0,0,0.0,0,0,0.0,0.0,12,0,10,12,0,0,0,0,0,89142,1.0,1.0,0.0,4861,3369,39,1,0,0,0.0
153,7,0,0,9,0,0.0,2,0,0.6,5.6,15,90,11,13,0,0,0,0,1,678925,1.0,2.0,0.0,121071,17751,47,0,0,1,2.0
43,6,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,16,0,0,0,0,0,3666,1.0,4.0,0.0,154,186,45,0,0,0,0.0
115,24,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,0,0,140121,2.0,1.0,0.0,1751,4504,42,0,0,0,0.0
81,4,0,0,0,0,0.0,0,0,0.0,0.0,15,0,15,18,0,0,0,0,0,255825,3.0,2.0,0.0,5239,9598,43,0,0,0,1.0
136,16,0,0,12,0,0.0,1,0,1.9,18.8,15,90,6,6,0,0,0,0,3,1202398,1.0,4.0,0.0,37090,28815,55,1,0,3,6.0
170,4,0,0,0,0,0.0,0,0,0.0,0.0,15,0,15,18,0,0,0,0,0,31409,3.0,2.0,0.0,933,808,39,0,0,0,0.0
45,14,0,0,19,0,0.0,1,0,2.8,27.6,12,90,10,12,0,0,0,0,2,1653203,1.0,1.0,0.0,6187,113673,55,1,0,2,1.0
