name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
100,1,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,131948,0.0,1.0,0.0,27719,30979,45,1,0,0,0.0
107,11,0,0,6,11.2,2,0,3.6,2.6,18,90,3,5,0,0,0,1582960,2.0,4.0,22.0,303351,77042,101,1,0,2,17.0
108,5,0,0,2,11.2,3,0,2.8,3.6,18,69,8,11,0,0,0,51558,2.0,4.0,13.0,4724,7945,60,0,1,1,0.0
119,16,0,0,3,0.8,1,0,0.3,2.2,13,18,2,4,0,0,0,24573,3.0,0.0,0.0,1618,6395,60,1,0,1,1.0
122,7,1,0,13,0.3,1,0,4.9,7.2,16,80,12,15,0,0,0,366405,3.0,1.0,41.0,22747,80780,60,0,0,5,2.0
123,24,0,0,0,0.0,0,0,0.0,0.0,19,0,0,0,0,0,0,619,1.0,2.0,0.0,82,103,55,0,0,0,0.0
137,1,0,0,3,12.9,0,0,2.3,4.4,17,28,14,19,0,0,0,1061409,0.0,1.0,6.0,159041,108125,45,1,0,1,0.0
138,11,0,0,0,0.0,0,0,0.0,0.0,18,0,3,5,0,0,0,37056,2.0,4.0,0.0,2581,12183,59,1,0,0,1.0
139,23,0,0,0,0.0,0,0,0.0,0.0,11,0,6,8,0,0,0,6584,2.0,5.0,0.0,785,2165,50,0,0,0,0.0
142,25,0,0,0,0.0,0,0,0.0,0.0,19,0,11,14,0,0,0,23573,3.0,1.0,0.0,3813,4260,50,1,0,0,0.0
146,14,0,0,0,0.0,0,0,0.0,0.0,19,0,19,25,0,0,0,0,3.0,1.0,0.0,0,0,45,0,0,0,1.0
151,19,0,0,0,0.0,0,0,0.0,0.0,17,0,1,1,0,0,0,18158,0.0,1.0,0.0,1069,13017,60,0,0,0,0.0
152,25,0,0,0,0.0,0,0,0.0,0.0,19,0,11,14,0,0,0,26850,3.0,1.0,0.0,5058,4684,50,1,0,0,0.0
156,5,0,0,5,10.6,1,0,5.1,4.2,18,20,8,11,0,0,0,48709,2.0,4.0,36.0,11518,8380,50,0,0,1,2.0
162,1,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,8177,0.0,1.0,0.0,963,1586,60,1,0,0,0.0
164,20,0,0,0,0.0,0,0,0.0,0.0,11,0,16,21,0,0,0,159368,5.0,2.0,0.0,17515,31662,50,1,0,0,1.0
165,24,0,0,17,2.6,2,1,10.2,29.4,19,90,0,0,0,0,0,495278,1.0,2.0,70.0,17622,190237,64,0,0,6,2.0
166,7,0,0,1,0.0,0,0,0.2,1.4,16,9,12,15,0,0,0,119307,3.0,1.0,1.0,13155,36288,60,0,0,1,1.0
168,8,0,0,-1,1.3,0,0,0.5,0.0,11,12,17,23,0,0,0,34460,2.0,5.0,7.0,3590,6089,60,1,0,1,0.0
173,4,1,3,66,14.6,0,2,16.3,88.4,13,90,13,16,0,0,0,101960,3.0,0.0,60.0,7825,17573,65,0,0,16,8.0
177,15,0,0,1,0.1,1,0,0.2,0.0,16,9,5,7,0,0,0,21375,3.0,1.0,2.0,2047,3070,65,1,0,1,0.0
179,19,0,0,4,10.3,0,0,1.9,4.4,17,22,1,1,0,0,0,44872,0.0,1.0,4.0,4011,8764,60,0,0,1,1.0
180,6,0,0,0,0.0,0,0,0.0,0.0,15,0,10,12,0,0,0,72643,2.0,0.0,0.0,3843,20448,70,1,0,0,1.0
181,1,0,0,0,23.4,0,0,5.6,0.0,17,90,14,19,0,0,0,104050,0.0,1.0,34.0,54723,14786,60,1,0,2,2.0
182,10,2,2,45,11.9,3,1,8.3,50.4,14,69,7,9,0,0,0,752960,3.0,4.0,21.0,429720,64775,56,1,0,14,8.0
188,25,0,0,26,1.9,3,1,6.9,34.0,19,90,11,14,0,0,0,1282778,3.0,1.0,33.0,155911,126142,85,1,0,6,0.0
189,12,0,0,0,0.0,0,0,0.0,0.0,15,0,4,6,0,0,0,401081,2.0,0.0,0.0,85310,63230,45,0,0,0,0.0
190,8,3,1,40,22.9,2,0,14.1,39.4,11,90,17,23,0,0,0,728227,2.0,5.0,79.0,144955,89713,80,1,0,12,8.0
192,12,1,0,21,35.3,0,0,10.7,23.4,15,85,4,6,0,0,0,222969,2.0,0.0,48.0,10158,69323,94,0,0,5,2.0
194,10,0,0,5,0.7,1,0,0.5,0.0,14,45,7,9,0,0,0,473291,3.0,4.0,4.0,50826,97254,60,1,0,1,1.0
203,14,0,0,0,0.0,0,0,0.0,0.0,19,0,19,25,0,0,0,235327,3.0,1.0,0.0,45002,82800,105,0,0,0,0.0
204,20,0,0,1,0.5,1,0,0.3,0.0,11,10,16,21,0,0,0,89923,5.0,2.0,4.0,8015,17653,55,1,0,1,0.0
209,24,0,0,1,0.3,0,0,0.0,0.0,19,2,0,0,0,0,0,30340,1.0,2.0,0.0,1584,11011,64,0,0,1,5.0
212,6,0,0,3,0.0,0,0,2.2,5.0,15,11,10,12,0,0,0,227720,2.0,0.0,17.0,4713,75252,74,1,0,1,6.0
219,6,0,0,10,12.4,2,0,3.5,12.0,15,90,10,12,0,0,0,2546205,2.0,0.0,11.0,80020,551472,95,1,0,2,2.0
223,1,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,823,0.0,1.0,0.0,111,230,60,1,0,0,0.0
230,16,0,0,0,0.0,0,0,0.0,0.0,13,0,2,4,0,0,0,22448,3.0,0.0,0.0,3615,8745,50,1,0,0,0.0
0,4,0,0,2,12.1,2,0,1.9,0.0,11,73,12,15,0,0,0,55356,3.0,2.0,8.0,26823,13297,55,1,0,2,2.0
8,24,0,0,0,0.0,0,0,0.0,0.0,18,0,19,25,0,0,0,538,0.0,4.0,0.0,109,182,55,1,0,0,0.0
10,9,0,0,-1,12.1,3,0,5.7,0.0,16,90,1,1,0,0,0,1458252,3.0,0.0,52.0,272639,175412,60,1,0,2,2.0
12,0,0,1,22,11.4,2,1,10.7,40.4,19,73,10,12,0,0,0,340935,1.0,3.0,55.0,47809,69661,85,0,0,7,0.0
