name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
78,17,0,0,8,26.0,5,0,5.0,15.6,15,90,0,0,0,0,0,373894,5.0,0.0,8.0,7978,17965,44,1,0,2,2.0
264,1,0,0,0,0.0,0,0,0.0,0.0,17,0,5,6,0,0,0,1614,3.0,1.0,0.0,25,41,50,1,0,0,0.0
189,14,1,0,17,17.8,3,0,5.9,23.2,15,90,8,11,0,0,0,30422,3.0,6.0,18.0,458,1068,48,1,1,4,3.0
314,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,239,5.0,0.0,0.0,192,43,45,1,0,0,1.0
633,3,0,0,0,0.0,0,0,0.0,0.0,20,0,3,4,0,0,0,2791,0.0,2.0,0.0,10,68,51,0,0,0,0.0
646,0,0,0,11,13.6,0,0,2.8,7.4,15,74,14,17,0,0,0,28993,5.0,0.0,7.0,2219,2800,50,0,1,2,2.0
602,16,1,0,20,12.2,1,0,3.7,25.0,20,90,12,15,0,0,0,45453,1.0,1.0,0.0,199,2820,45,1,0,5,2.0
83,11,0,0,0,0.0,0,0,0.0,0.0,15,0,11,14,0,0,0,9451,3.0,6.0,0.0,202,723,48,0,0,0,3.0
398,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,17,0,0,0,11716,5.0,0.0,0.0,0,153,45,0,0,0,0.0
494,11,0,0,0,0.0,0,0,0.0,0.0,15,0,11,14,0,0,0,98978,3.0,6.0,0.0,2728,7887,43,0,0,0,0.0
575,16,0,0,7,1.8,1,0,3.0,7.4,20,74,12,15,0,0,0,6202,1.0,1.0,21.0,323,342,53,1,0,2,2.0
19,24,0,0,0,0.0,0,0,0.0,0.0,15,0,15,20,0,0,0,12186,3.0,2.0,0.0,327,997,44,1,0,0,1.0
538,15,0,0,0,0.0,0,0,0.0,0.0,20,0,13,16,0,0,0,594035,1.0,1.0,0.0,90,6745,74,0,0,0,0.0
77,1,0,0,2,0.4,1,0,0.5,2.2,17,17,5,6,0,0,0,25951,3.0,1.0,2.0,15,297,57,1,0,1,2.0
375,4,0,0,23,10.4,0,1,7.2,39.6,20,45,2,3,0,0,0,139746,0.0,2.0,22.0,15204,7868,62,1,0,6,0.0
119,3,0,0,14,33.1,2,0,5.6,18.6,20,90,3,4,0,0,0,60181,0.0,2.0,4.0,1189,2755,50,0,1,1,0.0
656,14,0,0,0,0.0,0,0,0.0,0.0,15,0,8,11,0,0,0,274,3.0,6.0,0.0,0,2,45,1,0,0,0.0
501,15,0,0,5,0.7,0,0,0.8,7.6,20,12,13,16,0,0,0,25943,1.0,1.0,0.0,606,990,44,0,0,1,2.0
361,17,0,0,8,11.5,5,0,2.4,8.4,15,90,0,0,0,0,0,6260,5.0,0.0,4.0,996,714,49,1,0,2,2.0
270,4,1,0,19,27.3,0,0,6.1,23.4,20,90,2,3,0,0,0,64512,0.0,2.0,10.0,3938,2763,45,1,0,6,2.0
173,4,1,0,28,23.3,0,0,6.3,28.0,20,90,2,3,0,0,0,5929,0.0,2.0,12.0,232,231,59,1,0,6,1.0
644,20,0,0,6,2.7,2,0,1.7,4.6,15,88,18,24,0,0,0,9663,3.0,2.0,10.0,121,137,58,0,0,2,0.0
42,24,0,0,4,10.9,0,0,1.9,2.4,15,9,15,20,0,0,0,9576,3.0,2.0,6.0,123,161,51,1,0,1,0.0
523,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,1492,5.0,0.0,0.0,0,9,49,1,0,0,0.0
426,15,0,0,16,3.3,1,0,4.8,14.0,20,90,13,16,0,0,0,111643,1.0,1.0,31.0,28045,4627,94,0,0,2,0.0
537,4,0,0,2,0.8,0,0,0.0,0.0,20,5,2,3,0,0,0,23136,0.0,2.0,1.0,291,647,58,1,0,1,0.0
312,1,0,0,0,0.0,0,0,0.0,0.0,17,0,5,6,0,0,0,174175,3.0,1.0,0.0,7204,22096,59,1,0,0,1.0
98,0,0,3,55,34.0,0,2,13.9,71.0,15,77,14,17,0,0,0,1114715,5.0,0.0,34.0,138388,24787,63,0,0,16,6.0
432,1,0,0,0,0.0,0,0,0.0,0.0,17,0,5,6,0,0,0,14817,3.0,1.0,0.0,13,1090,45,1,0,0,0.0
622,4,0,0,3,0.8,0,0,2.2,4.0,20,5,2,3,0,0,0,2507,0.0,2.0,17.0,99,50,48,1,0,1,1.0
459,3,0,0,0,0.0,0,0,0.0,0.0,20,0,3,4,0,0,0,204,0.0,2.0,0.0,30,24,45,0,0,0,0.0
260,16,0,0,4,12.7,1,0,2.5,3.0,20,45,12,15,0,0,0,36485,1.0,1.0,9.0,972,1691,47,1,0,1,1.0
434,6,0,0,6,14.9,1,0,5.5,5.6,17,90,1,1,0,0,0,2230999,3.0,1.0,34.0,149742,67642,77,0,0,2,4.0
691,3,0,0,6,21.3,1,0,3.8,11.6,20,49,3,4,0,0,0,4736,0.0,2.0,5.0,158,183,59,0,0,1,2.0
161,15,0,0,0,0.0,0,0,0.0,0.0,20,0,13,16,0,0,0,19483,1.0,1.0,0.0,543,1506,57,0,0,0,0.0
55,1,0,0,3,1.7,1,0,1.4,5.2,17,14,5,6,0,0,0,31067,3.0,1.0,7.0,18,1615,56,1,0,1,0.0
476,20,0,1,27,2.3,2,1,7.1,43.0,15,90,18,24,0,0,0,8720,3.0,2.0,26.0,105,418,54,0,0,8,0.0
647,1,0,0,0,0.0,0,0,0.0,0.0,17,0,5,6,0,0,0,130,3.0,1.0,0.0,22,21,45,1,0,0,0.0
15,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,17,0,0,0,11616,5.0,0.0,0.0,15,1444,48,0,0,0,0.0
362,14,0,0,33,40.8,3,1,13.2,44.6,15,70,8,11,0,0,0,480425,3.0,6.0,47.0,101123,26820,119,1,0,7,8.0
551,14,0,2,51,6.6,3,2,17.4,78.0,15,90,8,11,0,0,0,227965,3.0,6.0,89.0,27480,19698,106,1,0,14,0.0
677,7,0,0,-10,2.8,3,0,0.2,0.0,15,36,16,21,0,0,1,501597,0.0,3.0,2.0,12633,19952,68,0,0,-2,0.0
650,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,18638,5.0,0.0,0.0,362,403,53,1,0,0,0.0
285,24,1,0,12,21.7,3,0,4.7,17.4,15,90,15,20,0,0,0,838534,3.0,2.0,8.0,174716,34557,65,1,1,4,14.0
682,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,17,0,0,0,6898,5.0,0.0,0.0,0,24,63,0,0,0,0.0
306,16,0,0,0,0.0,0,0,0.0,0.0,20,0,12,15,0,0,0,8446,1.0,1.0,0.0,345,721,44,1,0,0,0.0
418,24,0,0,17,49.8,2,0,6.9,17.2,15,45,15,20,0,0,0,33206,3.0,2.0,2.0,6762,2636,58,1,0,1,2.0
403,7,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,3822,0.0,3.0,0.0,81,95,53,0,0,0,1.0
572,6,0,0,0,0.0,0,0,0.0,0.0,17,0,1,1,0,0,0,11522,3.0,1.0,0.0,45,2121,54,0,0,0,0.0
164,7,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,4313,0.0,3.0,0.0,198,304,59,0,0,0,0.0
435,6,0,0,7,11.8,0,0,2.1,7.6,17,27,1,1,0,0,0,176851,3.0,1.0,2.0,7585,5323,50,0,0,1,1.0
127,7,0,0,11,26.6,3,0,4.0,9.0,15,74,16,21,0,0,0,2143376,0.0,3.0,4.0,91674,91652,61,0,0,2,0.0
227,21,0,0,0,0.0,0,0,0.0,0.0,15,0,6,7,0,0,0,118920,0.0,3.0,0.0,10258,4504,44,1,0,0,1.0
145,4,0,0,0,0.0,0,0,0.0,0.0,20,0,2,3,0,0,0,42,0.0,2.0,0.0,0,0,45,1,0,0,0.0
596,24,0,0,24,8.0,3,1,6.7,33.0,15,80,15,20,0,0,0,1396670,3.0,2.0,26.0,23413,77120,59,1,0,7,8.0
162,1,0,0,16,12.3,3,0,2.5,12.2,17,90,5,6,0,0,0,197326,3.0,1.0,0.0,8171,14505,45,1,0,2,2.0
604,3,0,0,9,30.4,2,0,7.4,16.4,20,90,3,4,0,0,0,123680,0.0,2.0,27.0,2626,4214,55,0,0,2,1.0
550,17,0,0,2,1.4,3,0,4.3,5.2,15,74,0,0,0,0,0,1227,5.0,0.0,36.0,113,59,47,1,1,1,2.0
624,20,0,0,6,0.3,0,0,1.5,6.4,15,1,18,24,0,0,0,9662,3.0,2.0,8.0,35,134,58,0,0,1,2.0
454,0,0,0,0,0.0,0,0,0.0,0.0,15,0,14,17,0,0,0,100,5.0,0.0,0.0,0,1,45,0,0,0,0.0
606,3,0,0,16,4.3,2,0,6.4,15.2,20,90,3,4,0,0,0,5090,0.0,2.0,44.0,765,314,49,0,0,2,2.0
126,24,0,0,0,0.0,0,0,0.0,0.0,15,0,15,20,0,0,0,4003,3.0,2.0,0.0,0,45,45,1,0,0,0.0
525,20,0,0,15,13.3,2,0,3.3,16.2,15,90,18,24,0,0,0,42137,3.0,2.0,3.0,1134,1648,45,0,0,2,0.0
120,6,0,0,10,15.8,1,0,2.6,6.4,17,90,1,1,0,0,0,58075,3.0,1.0,4.0,3892,2219,79,0,0,2,2.0
600,15,0,0,11,3.3,1,0,3.4,16.2,20,77,13,16,0,0,0,25473,1.0,1.0,14.0,1188,779,54,0,0,2,12.0
638,4,0,0,0,0.0,0,0,0.0,0.0,20,0,2,3,0,0,0,2682,0.0,2.0,0.0,40,69,45,1,0,0,0.0
358,11,0,0,0,0.0,0,0,0.0,0.0,15,0,11,14,0,0,0,277,3.0,6.0,0.0,57,27,45,0,0,0,0.0
506,24,0,0,7,0.8,1,0,1.7,6.8,15,45,15,20,0,0,0,3386,3.0,2.0,9.0,88,67,57,1,0,1,6.0
518,21,0,0,17,22.6,0,0,4.4,14.4,15,90,6,7,0,0,0,71771,0.0,3.0,7.0,2059,3571,45,1,0,3,0.0
671,3,0,0,0,0.0,0,0,0.0,0.0,20,0,3,4,0,0,0,10381,0.0,2.0,0.0,133,500,50,0,0,0,0.0
97,3,0,0,-1,0.5,1,0,0.3,0.0,20,40,3,4,0,0,0,165519,0.0,2.0,4.0,11663,13659,54,0,0,1,0.0
562,14,0,0,0,0.0,0,0,0.0,0.0,15,0,8,11,0,0,0,107336,3.0,6.0,0.0,5289,11424,55,1,0,0,0.0
10,11,0,0,29,21.4,6,1,9.5,49.0,15,90,11,14,0,0,0,5423,3.0,6.0,25.0,192,553,60,0,0,7,6.0
219,6,0,0,0,0.0,0,0,0.0,0.0,17,0,1,1,0,0,0,39777,3.0,1.0,0.0,453,7709,73,0,0,0,0.0
618,24,0,0,0,0.0,0,0,0.0,0.0,15,0,15,20,0,0,0,307,3.0,2.0,0.0,50,35,45,1,0,0,0.0
419,11,0,0,8,14.2,6,0,3.4,9.8,15,90,11,14,0,0,0,10445,3.0,6.0,10.0,213,196,52,0,0,2,1.0
170,1,0,0,8,10.9,2,0,1.2,0.8,17,73,5,6,0,0,0,87699,3.0,1.0,0.0,712,4783,62,1,0,2,5.0
467,16,0,0,4,0.3,0,0,1.3,3.4,20,15,12,15,0,0,0,20187,1.0,1.0,9.0,455,673,51,1,0,1,1.0
531,24,0,0,4,1.9,1,0,0.4,0.4,15,45,15,20,0,0,0,177286,3.0,2.0,2.0,12806,11517,60,1,0,1,0.0
480,4,0,0,0,0.0,0,0,0.0,0.0,20,0,2,3,0,0,0,413,0.0,2.0,0.0,0,5,45,1,0,0,0.0
315,16,0,0,8,0.8,1,0,2.9,14.2,20,90,12,15,0,0,0,6671,1.0,1.0,14.0,209,1673,53,1,0,2,1.0
167,16,0,0,0,0.0,0,0,0.0,0.0,20,0,12,15,0,0,0,1497,1.0,1.0,0.0,103,86,45,1,0,0,0.0
540,3,0,0,0,0.0,0,0,0.0,0.0,20,0,3,4,0,0,0,765,0.0,2.0,0.0,11,16,53,0,0,0,0.0
381,11,0,0,0,0.0,0,0,0.0,0.0,15,0,11,14,0,0,0,213,3.0,6.0,0.0,71,28,45,0,0,0,0.0
429,24,0,0,0,0.0,0,0,0.0,0.0,15,0,15,20,0,0,0,67797,3.0,2.0,0.0,1035,2985,44,1,0,0,8.0
473,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,7707,5.0,0.0,0.0,26,259,52,1,0,0,0.0
169,0,0,0,20,0.8,0,1,6.7,33.4,15,8,14,17,0,0,0,2415693,5.0,0.0,33.0,167760,97843,61,0,0,6,1.0
368,11,0,0,21,18.5,6,0,3.9,19.4,15,90,11,14,0,0,0,6382,3.0,6.0,1.0,636,390,44,0,0,2,7.0
558,14,1,0,32,39.5,3,1,14.9,51.2,15,90,8,11,0,0,0,390059,3.0,6.0,58.0,68619,10158,86,1,0,10,0.0
65,21,0,0,0,0.0,0,0,0.0,0.0,15,0,6,7,0,0,0,101581,0.0,3.0,0.0,6849,1573,62,1,0,0,2.0
195,3,0,0,5,12.8,0,0,1.9,5.8,20,45,3,4,0,0,0,7653,0.0,2.0,0.0,192,412,49,0,0,1,2.0
57,24,0,0,0,0.0,0,0,0.0,0.0,15,0,15,20,0,0,0,133,3.0,2.0,0.0,44,14,45,1,0,0,0.0
424,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,40,5.0,0.0,0.0,0,0,50,1,0,0,0.0
444,17,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,13569,5.0,0.0,0.0,103,2613,45,1,0,0,0.0
411,3,0,0,0,0.0,0,0,0.0,0.0,20,0,3,4,0,0,0,6163,0.0,2.0,0.0,95,240,44,0,0,0,1.0
599,7,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,3209,0.0,3.0,0.0,119,119,45,0,0,0,0.0
