name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
246,15,0,0,0,0,0.0,0,0,0.0,0.0,20,0,14,16,0,0,0,94672,0.0,1.0,0.0,238,17977,40,0,0,0,1.0
323,15,0,0,17,0,15.3,1,0,3.7,21.2,20,90,14,16,0,0,0,331489,0.0,1.0,0.0,30299,2486,52,0,0,2,1.0
215,8,0,2,26,1,11.3,0,0,4.0,22.0,17,90,15,18,0,0,0,322822,1.0,0.0,7.0,9974,15747,44,0,0,8,6.0
289,3,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,45527,1.0,3.0,0.0,9515,1354,45,1,0,0,0.0
203,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,5192,1.0,1.0,0.0,0,84,40,0,0,0,0.0
450,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,609,3.0,3.0,0.0,21,27,44,0,0,0,0.0
282,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,19,25,0,0,0,10731,1.0,2.0,0.0,0,110,44,1,0,0,0.0
488,9,0,0,10,0,0.1,4,0,2.8,27.8,14,90,10,12,0,0,0,154810,3.0,4.0,0.0,1492,12266,45,0,0,0,0.0
216,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,47877,1.0,1.0,0.0,194,805,40,0,0,0,0.0
168,0,0,0,15,0,11.8,1,0,3.4,8.6,15,90,19,25,0,0,0,1636459,1.0,2.0,14.0,76716,23208,49,1,0,2,1.0
478,0,1,2,33,1,21.8,0,0,6.0,34.6,15,78,19,25,0,0,0,68959,1.0,2.0,4.0,20938,2111,45,1,0,11,0.0
140,15,0,0,0,0,0.0,0,0,0.0,0.0,20,0,14,16,0,0,0,10061,0.0,1.0,0.0,0,166,40,0,0,0,0.0
230,19,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,1179,0.0,5.0,0.0,111,54,40,0,0,0,0.0
172,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,7498,1.0,0.0,0.0,0,114,39,1,0,0,0.0
322,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,1162,0.0,5.0,0.0,0,17,40,1,0,0,0.0
3,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,278,2.0,3.0,0.0,0,2,40,1,0,0,0.0
375,18,0,0,15,0,1.3,1,0,4.2,33.4,17,90,8,8,0,0,0,7064,1.0,0.0,7.0,1296,274,45,1,0,2,0.0
468,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,17,21,0,0,0,105042,3.0,3.0,0.0,3697,3533,39,1,0,0,0.0
428,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,19,25,0,0,0,1050,1.0,2.0,0.0,338,115,40,1,0,0,0.0
